egiftID,Main_id
AC0263,75740-5
AC0264,75854-3
AC0265,76103-5
AC0266,76375-8
AC0267,76547-1
AC0268,76791-6
AC0269,77044-0
AC0270,77050-5
AC0271,43046-3
AC0272,43054-4
AC0274,77117-7
AC0275,17738-6
AC0276,77133-9
AC0277,77595-3
AC0278,77792-2
AC0279,77834-5
AC0280,77989-4
AC0281,78650-2
AC0282,78866-5
AC0283,78903-3
AC0284,79026-8
AC0285,79986-1
AC0286,80069-5
AC0287,80122-5
AC0288,80404-4
AC0289,80609-7
AC0290,80684-8
AC0291,80765-6
AC0292,80924-3
AC0293,81305-1
AC0294,81498-2
AC0295,81505-9
AC0296,81647-2
AC0297,81729-3
AC0298,81767-5
AC0299,81828-9
AC0300,81949-5
AC0303,82655-6
AC0304,82708-9
AC0305,82733-5
AC0306,82943-0
AC0307,83180-0
AC0308,83605-4
AC0309,83880-3
AC0310,84052-9
AC0311,84059-0
AC0312,84175-1
AC0313,84516-8
AC0314,84598-0
AC0315,84747-0
AC0317,84836-9
AC0318,84842-4
AC0319,84930-0
AC0320,25551-2
AC0321,28535-9
AC0322,86083-9
AC0323,86232-9
AC0324,86273-0
AC0325,86425-9
AC0326,86670-7
AC0327,86815-8
AC0328,86928-3
AC0329,87030-8
AC0330,87280-1
AC0331,87295-3
AC0332,87419-7
AC0333,87564-6
AC0335,87606-9
AC0336,87654-8
AC0337,87714-9
AC0338,87783-5
AC0339,88173-7
AC0340,88183-4
AC0341,88378-0
AC0342,88431-0
AC0343,88610-1
AC0344,88752-4
AC0345,88843-9
AC0346,88856-5
AC0347,88881-1
AC0348,25582-6
AC0349,89267-4
AC0350,89280-7
AC0351,89324-6
AC0352,89343-7
AC0353,89505-3
AC0354,89557-4
AC0355,89635-3
AC0356,89672-2
AC0357,89761-1
AC0358,89894-0
AC0359,28679-8
AC0360,60667-9
AC0361,61161-9
AC0362,61615-1
AC0363,61804-9
AC0364,61995-4
AC0365,62357-1
AC0366,63052-2
AC0367,63391-4
AC0368,63395-6
AC0369,63434-0
AC0370,64265-9
AC0371,64329-2
AC0372,64331-5
AC0373,64510-6
AC0374,64725-6
AC0375,65152-7
AC0376,65303-3
AC0377,65310-1
AC0378,65612-4
AC0379,65658-0
AC0380,65838-4
AC0381,65925-7
AC0382,65997-2
AC0383,66071-2
AC0384,66206-6
AC0385,66503-4
AC0386,66538-0
AC0387,67049-8
AC0388,67079-9
AC0389,67187-9
AC0390,67632-4
AC0391,67782-8
AC0392,67934-7
AC0393,67943-1
AC0394,68252-5
AC0395,68289-7
AC0397,68462-0
AC0398,68490-5
AC0399,68711-9
AC0400,68792-8
AC0401,68962-5
AC0402,68996-8
AC0403,69244-7
AC0404,69261-2
AC0405,39222-6
AC0406,39383-0
AC0407,39809-7
AC0408,39902-5
AC0409,39913-5
AC0410,38307-3
AC0411,38468-7
AC0412,38826-9
AC0413,38920-0
AC0414,38959-8
AC0416,13455-2
AC0417,13527-6
AC0418,13591-7
AC0419,13676-7
AC0420,13870-7
AC0422,13895-6
AC0423,21558-1
AC0424,35781-8
AC0425,35888-8
AC0426,35900-7
AC0427,90222-1
AC0428,90355-0
AC0429,90479-5
AC0430,90731-0
AC0431,90878-8
AC0432,91134-8
AC0433,91490-5
AC0434,91521-8
AC0435,91528-9
AC0436,91717-7
AC0438,91923-0
AC0439,91949-2
AC0440,92023-2
AC0441,92217-5
AC0442,92226-9
AC0443,92241-8
AC0444,92469-4
AC0445,92501-7
AC0446,92537-6
AC0447,92727-7
AC0448,92822-1
AC0449,92842-5
AC0450,92989-3
AC0451,93031-6
AC0452,93114-0
AC0453,93472-3
AC0454,93573-5
AC0455,93625-5
AC0456,93768-1
AC0457,94043-2
AC0458,95233-6
AC0459,95251-4
AC0460,95506-1
AC0461,95579-9
AC0462,96054-8
AC0463,96075-5
AC0464,96279-5
AC0465,96583-1
AC0466,96666-5
AC0467,96777-4
AC0468,96781-3
AC0469,96822-3
AC0470,97148-5
AC0471,97641-9
AC0472,97776-4
AC0473,97927-0
AC0474,97967-8
AC0475,98017-5
AC0476,98019-1
AC0478,98225-4
AC0479,98271-7
AC0480,98371-6
AC0482,98495-1
AC0483,98508-6
AC0484,98525-1
