FundraisedAmount,Main_ID,Description,EventYear
"5,255",79709-6,Reimagined,2022
"5,610",79839-6,Reimagined,2022
"6,000",79889-1,Reimagined,2022
"5,000",86293-4,Reimagined,2022
"40,475",04530-8,Reimagined,2022
"8,350",10646-A,Reimagined,2022
"2,485",10750-A,Reimagined,2022
0,10842-A,Reimagined,2022
"11,835",10941-A,Reimagined,2022
"6,420",36496-6,Reimagined,2022
"4,498",36503-3,Reimagined,2022
"2,000",36519-8,Reimagined,2022
"13,284.24",48361-4,Reimagined,2022
"12,840",51451-2,Reimagined,2022
"9,000",51562-1,Reimagined,2022
"3,050",70771-4,Reimagined,2022
"2,840",83674-0,Reimagined,2022
"4,000",83690-2,Reimagined,2022
"15,795",83758-7,Reimagined,2022
"8,645",03866-1,Reimagined,2022
"6,033",10431-A,Reimagined,2022
"4,000",13982-9,Reimagined,2022
"346,500",18043-8,Reimagined,2022
"2,310",13928-A,Reimagined,2022
"102,804.06",14339-A,Reimagined,2022
"5,085",27452-2,Reimagined,2022
"6,535",31132-0,Reimagined,2022
"2,385",53831-0,Reimagined,2022
"9,600",53997-9,Reimagined,2022
"4,605",57099-6,Reimagined,2022
"9,500",61146-0,Reimagined,2022
"13,086",61185-5,Reimagined,2022
"12,210",72586-4,Reimagined,2022
"9,500",72749-3,Reimagined,2022
"2,000",80923-0,Reimagined,2022
"10,872.85",87228-3,Reimagined,2022
"2,398.56",13667-3,Reimagined,2022
"7,695",26908-7,Reimagined,2022
"2,810.6",39730-2,Reimagined,2022
"4,800",39757-7,Reimagined,2022
"8,000",39973-7,Reimagined,2022
"20,229",39979-5,Reimagined,2022
"8,548.74",48819-8,Reimagined,2022
"3,235",52517-4,Reimagined,2022
"6,140.81",56420-3,Reimagined,2022
"9,500",65896-0,Reimagined,2022
"11,127.11",65937-0,Reimagined,2022
"6,000",66113-5,Reimagined,2022
"3,055",66142-3,Reimagined,2022
"10,000",75626-0,Reimagined,2022
"6,583.55",79726-1,Reimagined,2022
"11,910",79915-9,Reimagined,2022
"2,725",80127-0,Reimagined,2022
"4,000",13442-6,Reimagined,2022
"3,000",13551-9,Reimagined,2022
"2,000",13692-A,Reimagined,2022
"2,000",13721-A,Reimagined,2022
"4,000",13729-A,Reimagined,2022
"2,000",13758-A,Reimagined,2022
"2,000",13792-A,Reimagined,2022
"2,340",13856-1,Reimagined,2022
"7,683",56477-9,Reimagined,2022
"4,225",56502-4,Reimagined,2022
"6,050",56571-0,Reimagined,2022
"4,812.95",66028-8,Reimagined,2022
"2,000",66225-7,Reimagined,2022
"2,475",66236-7,Reimagined,2022
"2,500",66255-8,Reimagined,2022
"6,197.8",72019-9,Reimagined,2022
"2,000",84733-1,Reimagined,2022
"2,000",99721-0,Reimagined,2022
"7,239.17",10549-A,Reimagined,2022
"2,000",10551-A,Reimagined,2022
"3,857.95",10681-A,Reimagined,2022
"6,845",34791-2,Reimagined,2022
"2,000",38912-9,Reimagined,2022
"6,000",39666-2,Reimagined,2022
"5,300",57143-2,Reimagined,2022
"14,526",57277-4,Reimagined,2022
"2,200",57300-3,Reimagined,2022
"23,106.11",57451-0,Reimagined,2022
"1,290",67069-2,Reimagined,2022
"4,388",72577-0,Reimagined,2022
"3,100",87071-9,Reimagined,2022
"4,722",87098-4,Reimagined,2022
"6,000",94684-7,Reimagined,2022
"3,495",95446-0,Reimagined,2022
"4,526",11129-A,Reimagined,2022
"6,000",10857-A,Reimagined,2022
"6,000",19339-9,Reimagined,2022
"10,514.25",32103-5,Reimagined,2022
"1,500",32103-5,Reimagined,2022
"11,636",55141-0,Reimagined,2022
0,55141-0,Reimagined,2022
"4,060",75286-6,Reimagined,2022
"3,128",00972-6,Reimagined,2022
"3,267.53",48277-0,Reimagined,2022
"4,826.23",75002-0,Reimagined,2022
"3,430",75175-7,Reimagined,2022
"2,000",78615-9,Reimagined,2022
"14,999.76",03803-0,Reimagined,2022
"6,380",10530-A,Reimagined,2022
"4,000",13927-A,Reimagined,2022
"2,363.2",23069-2,Reimagined,2022
"2,503.2",39531-7,Reimagined,2022
"6,625",10379-A,Reimagined,2022
"4,000",10479-A,Reimagined,2022
"9,766",23286-5,Reimagined,2022
"1,000",23329-1,Reimagined,2022
"4,978",30851-1,Reimagined,2022
"2,825",39365-2,Reimagined,2022
"11,263.59",39546-9,Reimagined,2022
"4,895.64",39565-0,Reimagined,2022
"2,000",39606-0,Reimagined,2022
"9,909.84",57291-0,Reimagined,2022
"18,606.74",57467-5,Reimagined,2022
"2,000",61331-6,Reimagined,2022
"2,600",67045-6,Reimagined,2022
"121,787.75",72545-3,Reimagined,2022
"2,030",81096-0,Reimagined,2022
"6,000",86906-3,Reimagined,2022
"6,485",01228-9,Reimagined,2022
"26,781",03701-5,Reimagined,2022
"2,000",10218-A,Reimagined,2022
"6,000",10516-A,Reimagined,2022
"9,799",18743-1,Reimagined,2022
"14,889",50631-3,Reimagined,2022
"10,525",57137-7,Reimagined,2022
"8,665",57355-3,Reimagined,2022
"32,000",77072-5,Reimagined,2022
"2,320",50592-9,Reimagined,2022
"15,375",50601-2,Reimagined,2022
"2,050",57153-9,Reimagined,2022
"13,535",57261-9,Reimagined,2022
"2,000",61111-4,Reimagined,2022
"6,873.9",61144-4,Reimagined,2022
"6,085",61496-2,Reimagined,2022
"2,000",67213-7,Reimagined,2022
190,67443-6,Reimagined,2022
"2,000",72718-9,Reimagined,2022
0,76843-6,Reimagined,2022
"11,987.2",77184-7,Reimagined,2022
"2,225",81010-6,Reimagined,2022
"2,335",86894-1,Reimagined,2022
"4,000",87234-8,Reimagined,2022
"2,610",94494-6,Reimagined,2022
"6,000",94630-0,Reimagined,2022
"6,000",11460-A,Reimagined,2022
"2,149.54",48555-7,Reimagined,2022
"87,550",48613-2,Reimagined,2022
"16,127",48667-9,Reimagined,2022
"4,000",54933-8,Reimagined,2022
"14,395",58955-0,Reimagined,2022
"3,835",59034-5,Reimagined,2022
"9,695.2",77607-5,Reimagined,2022
"3,992",81981-9,Reimagined,2022
"5,000",82774-6,Reimagined,2022
"6,745",87487-0,Reimagined,2022
"6,175",87729-1,Reimagined,2022
"2,060",95667-5,Reimagined,2022
"2,219.49",95791-7,Reimagined,2022
"6,000",97002-0,Reimagined,2022
100,86227-7,Reimagined,2022
"2,547",86227-7,Reimagined,2022
"4,459.52",90784-4,Reimagined,2022
"2,050",91608-4,Reimagined,2022
"2,000",99765-0,Reimagined,2022
"8,130",04071-4,Reimagined,2022
"6,000",10624-A,Reimagined,2022
"8,350",10661-A,Reimagined,2022
"4,000",10690-A,Reimagined,2022
"6,000",10861-A,Reimagined,2022
"9,508.38",28517-1,Reimagined,2022
"4,000",32169-5,Reimagined,2022
"4,226",55338-2,Reimagined,2022
"2,000",59260-2,Reimagined,2022
"4,000",75225-1,Reimagined,2022
"2,204",87305-9,Reimagined,2022
"2,560",87350-9,Reimagined,2022
"1,255",95442-8,Reimagined,2022
"8,045",11136-A,Reimagined,2022
"2,620",11230-A,Reimagined,2022
"8,413.03",11386-A,Reimagined,2022
"7,230",11419-A,Reimagined,2022
"3,540",20781-6,Reimagined,2022
"3,920",29858-2,Reimagined,2022
"3,255",37074-3,Reimagined,2022
"5,450",41236-8,Reimagined,2022
"17,202",48426-0,Reimagined,2022
"6,000",54885-0,Reimagined,2022
"10,505.9",58901-3,Reimagined,2022
"6,000",63278-2,Reimagined,2022
"17,427.5",77614-3,Reimagined,2022
"2,878.35",87392-3,Reimagined,2022
"6,000",87699-1,Reimagined,2022
"2,030.4",87735-6,Reimagined,2022
